id,title,description,priority,status,assetId,createdAt
57,SLA test,Should alert soon,CRITICAL,IN_PROGRESS,,2025-09-13T03:45:36.020Z
56,test on 09/12/25 at 11:37pm,test sprint 6 code change,HIGH,IN_PROGRESS,,2025-09-13T03:38:21.702Z
55,Test incident response app,We still need to make some css style layout and make sure the app is performing as intended.,LOW,OPEN,,2025-09-11T04:47:19.135Z
54,Water Main Break,Street is flooding due to water main break,CRITICAL,IN_PROGRESS,49,2025-09-08T07:47:47.968Z
53,Main break on Columbia Road,Major pipe main break at Columbia Road near intersection off Patuxent HWY,CRITICAL,RESOLVED,50,2025-09-06T01:10:32.739Z
52,Major Main Break on 6740 10th Street,Need all fire department to respond this major incident ASAP.,CRITICAL,RESOLVED,45,2025-09-06T23:48:18.915Z
51,Hydrant leak on 5th Ave,There's a broken fire hydrant water leak on 5th Ave between Northwest Street and Cedar Road.,HIGH,IN_PROGRESS,48,2025-09-06T22:59:49.387Z
50,Water main break at Krajcik Lake Port Phyllis,Solus vos aegre cibus atrox verumtamen suscipio sunt virtus. Alter vulgo tibi basium vero corrupti valde. Cupiditas culpa speciosus.,CRITICAL,OPEN,48,2025-09-06T18:08:24.935Z
49,Sensor outage at Conn Valleys Port Joannie,Autus abutor velut attonbitus. Aeternus textus unde itaque caveo charisma suggero sortitus causa.,LOW,IN_PROGRESS,49,2025-09-06T18:08:24.935Z
48,Sensor outage at Mulberry Street Evertworth,Praesentium voluntarius ultio audax audacia suasoria praesentium tripudio itaque spiritus.,CRITICAL,IN_PROGRESS,39,2025-09-06T18:08:24.935Z
47,Hydrant repair at Cremin Oval New Vallieworth,Est substantia ambulo calculus capto. Bonus vacuus calculus vociferor torrens.,HIGH,OPEN,,2025-09-06T18:08:24.935Z
46,Pump maintenance at Lee Street South Skylarside,Corroboro tyrannus acervus usitas speculum. Somniculosus cervus nobis corrupti beatae strues occaecati.,MEDIUM,OPEN,18,2025-09-06T18:08:24.935Z
45,Valve service at Grady Trafficway Owensboro,Beatae amitto advoco.,CRITICAL,IN_PROGRESS,14,2025-09-06T18:08:24.935Z
44,Road closure at Main Palatine,Sollers tabesco currus xiphias veniam.,LOW,RESOLVED,,2025-09-06T18:08:24.935Z
43,Pump maintenance at Eusebio Grove South Eduardo,Patior urbs decimus.,CRITICAL,OPEN,18,2025-09-06T18:08:24.935Z
42,Pump maintenance at Daisy Points Longmont,Vulgivagus tui subiungo adhuc id suggero confido. Ducimus tabernus voluptatibus candidus denego vado delinquo vado adipisci.,MEDIUM,IN_PROGRESS,,2025-09-06T18:08:24.935Z
41,Water main break at Esther Track Homestead,Contabesco thymum deporto canonicus solium tumultus thorax toties thymbra beneficium. Praesentium corrupti vitiosus somnus cena. Amplitudo umbra vestigium tibi tempore contego vulgaris tibi.,CRITICAL,OPEN,18,2025-09-06T18:08:24.935Z
40,Pump maintenance at Ferry Neck West Domenicside,Attonbitus cultura claudeo sum. Amplus absconditus totidem.,MEDIUM,RESOLVED,,2025-09-06T18:08:24.935Z
39,Sensor outage at Cesar Lake East Gus,Alioqui teres animus uxor traho avaritia curatio vitium. Arto ullus sunt theatrum laboriosam texo iste voluptate provident. Velum adhaero adicio tamquam peior demum cetera.,MEDIUM,OPEN,,2025-09-06T18:08:24.935Z
38,Downed line at Dickens Center Lednerboro,Callide vir collum voluptatum versus.,HIGH,RESOLVED,,2025-09-06T18:08:24.935Z
37,Pump maintenance at Cross Lane Spring,Concedo claustrum vesco solium damnatio contabesco debilito absque. Turpis crudelis defetiscor talis pel aspernatur. Somnus molestiae circumvenio adipiscor curtus vel brevis vigilo tepesco nesciunt.,LOW,OPEN,,2025-09-06T18:08:24.935Z
36,Hydrant repair at Hyman Throughway Beerton,Alias video speculum veniam traho.,MEDIUM,OPEN,50,2025-09-06T18:08:24.935Z
35,Water main break at Janae Club Canton,Vitiosus blandior ara. Subvenio illo arbustum alius paulatim amitto sumptus suspendo versus sublime. Termes approbo ea fugiat eaque.,HIGH,OPEN,,2025-09-06T18:08:24.935Z
34,Sensor outage at Richmond Road Pine Bluff,Stips termes thymbra caput articulus quas. Coepi taceo celer.,MEDIUM,RESOLVED,,2025-09-06T18:08:24.935Z
33,Hydrant repair at Conrad Via Southaven,Autus tertius ustilo undique currus. Vallum vulnero socius convoco auctor vergo voluptates argentum carmen.,HIGH,RESOLVED,,2025-09-06T18:08:24.935Z
32,Sensor outage at Beer Forks East Leopoldberg,Succurro theca chirographum pauper circumvenio studio ad.,LOW,RESOLVED,40,2025-09-06T18:08:24.935Z
31,Downed line at Mitchell Corners Hillardview,Theca deripio solvo. Aestus deficio sub adnuo pauper. Curriculum tumultus verecundia dedecor terga censura.,CRITICAL,OPEN,,2025-09-06T18:08:24.935Z
30,Pump maintenance at Main Avenue Port Cassandraborough,Clibanus comis aveho. Rem cotidie tepidus abstergo.,CRITICAL,OPEN,,2025-09-06T18:08:24.935Z
29,Pump maintenance at Vince Mall Ames,Expedita voveo curtus abutor terreo. Votum censura congregatio curis. Utroque colo allatus spes.,HIGH,OPEN,34,2025-09-06T18:08:24.935Z
28,Downed line at Orchard Road East Hannahburgh,Usque tracto cetera volaticus temperantia consequatur crux cornu corrigo. Fugit cur commodi vulticulus aetas coniecto brevis utique. Copia tribuo iure dolorum accendo.,CRITICAL,IN_PROGRESS,,2025-09-06T18:08:24.935Z
27,Downed line at N Bridge Street Fort Kaleigh,Demulceo infit suscipio argentum agnitio tabernus taedium tandem consuasor abbas.,MEDIUM,OPEN,17,2025-09-06T18:08:24.935Z
26,Sensor outage at Nicolas Extensions San Francisco,Non speciosus candidus terebro thymum unde. Vetus comminor utilis aer ocer id.,MEDIUM,RESOLVED,23,2025-09-06T18:08:24.935Z
25,Valve service at Aubrey Field Fort Eugenia,Quas dolores cogito sponte sed tamquam libero tredecim ea sui. Adamo adficio spero consectetur quo acerbitas calamitas uter.,HIGH,OPEN,25,2025-09-06T18:08:24.935Z
24,Valve service at Regan Locks Hiltonbury,Crapula curtus cunabula adulescens amoveo.,CRITICAL,IN_PROGRESS,15,2025-09-06T18:08:24.935Z
23,Pump maintenance at Green Throughway West Celestino,Totus conculco adaugeo speciosus autem sono verumtamen. Creber enim quibusdam considero demo. Canis cum copia demonstro amor vapulus tersus.,CRITICAL,RESOLVED,,2025-09-06T18:08:24.935Z
22,Road closure at N 4th Street South Mabelfurt,Tenus vulpes depereo confero aurum doloribus uter dolores ascit delinquo. Defleo absconditus basium audio.,HIGH,RESOLVED,40,2025-09-06T18:08:24.935Z
21,Valve service at Railway Street Hintzmouth,Deporto tempus antepono aperiam apparatus crudelis charisma utroque aurum beatae. Corrumpo dedico clam villa vinitor. Apparatus ultra asporto.,MEDIUM,OPEN,7,2025-09-06T18:08:24.935Z
20,Storm cleanup at W 8th Street Brakusstead,Aequus capio conculco templum stillicidium strenuus.,LOW,OPEN,,2025-09-06T18:08:24.935Z
19,Valve service at Howard Road Ileneside,Id tamisium nesciunt spiculum admoveo tenus. Sequi summa uxor acervus. Vilicus vallum fugiat callide crux totus condico comprehendo valeo.,CRITICAL,RESOLVED,48,2025-09-06T18:08:24.935Z
18,Downed line at York Street South Imani,Caritas admiratio quidem caecus. Carbo armarium quos.,MEDIUM,OPEN,37,2025-09-06T18:08:24.935Z
17,Downed line at Shanahan Creek Lincoln,Cenaculum vinitor damno peccatus abeo unus.,LOW,OPEN,,2025-09-06T18:08:24.935Z
16,Downed line at Ebert Pass Uptonland,Terga chirographum censura curatio tibi quae vir decerno. Teres dolore cohibeo traho aliquid cunabula.,LOW,IN_PROGRESS,32,2025-09-06T18:08:24.935Z
15,Storm cleanup at Moises Underpass Ceres,Ad cruciamentum tenuis verbum vorax conatus appono absque curia. Earum demergo celer averto dens at.,MEDIUM,OPEN,37,2025-09-06T18:08:24.935Z
14,Downed line at Reinger Knolls Port Jerelcester,Validus tempore sui sursum.,MEDIUM,RESOLVED,,2025-09-06T18:08:24.935Z
13,Hydrant repair at Osinski Branch Dinoborough,Quam sonitus constans beatus tempore alienus.,HIGH,OPEN,,2025-09-06T18:08:24.935Z
12,Hydrant repair at Hilton Heights North Keshaunworth,Ipsum assentator ipsa urbanus voco tabula. Decimus culpo usus.,LOW,OPEN,,2025-09-06T18:08:24.935Z
11,Hydrant repair at Beier Dale East Kaleighchester,Terga adipisci vito voluptatem clarus amplitudo.,CRITICAL,RESOLVED,,2025-09-06T18:08:24.935Z
10,Sensor outage at Manor Close Scranton,Vilitas certe explicabo aliqua harum vicissitudo. Demoror adfectus deduco tamen.,MEDIUM,RESOLVED,,2025-09-06T18:08:24.935Z
9,Sensor outage at S Washington Avenue South Alejandraport,Volup somniculosus recusandae tot decor.,HIGH,RESOLVED,28,2025-09-06T18:08:24.935Z
8,Water main break at Water Lane Framifort,Catena vehemens volaticus barba suppono amaritudo. Balbus consuasor timor vilicus.,CRITICAL,RESOLVED,,2025-09-06T18:08:24.935Z
7,Sensor outage at Karlee Passage Botsfordland,Vester tepesco tenus vesica adflicto aeneus spiculum thema verumtamen arbustum.,HIGH,RESOLVED,,2025-09-06T18:08:24.935Z
6,Pump maintenance at Lonnie Key Fort Maeveside,Concedo thymbra adversus rem animi patrocinor terga. Conventus tamdiu approbo tepidus tego annus. Vulgaris apto culpa ultio.,MEDIUM,IN_PROGRESS,,2025-09-06T18:08:24.935Z
5,Valve service at Bedford Road Lake Rowlandboro,Urbanus videlicet voro tutamen xiphias amplexus adipisci explicabo rem esse.,LOW,IN_PROGRESS,39,2025-09-06T18:08:24.935Z
4,Valve service at Kayla Streets Dareside,Conventus apud absorbeo vicinus corroboro architecto defetiscor tertius certe. Cinis debilito laboriosam vacuus aeger nam comitatus tabella suffoco architecto. Amet vallum sint veniam verecundia cupressus velum cupiditas titulus.,MEDIUM,RESOLVED,,2025-09-06T18:08:24.935Z
3,Downed line at Alene Prairie South Websterview,Bonus arca rem amicitia eius collum adfero. Demum tabernus vomica volutabrum adstringo. Abduco deficio accommodo.,HIGH,OPEN,44,2025-09-06T18:08:24.935Z
2,Hydrant repair at Ronaldo Rapids Durganburgh,Tergeo asperiores compono ante. Cervus arbitro amplitudo absum. Tempora thesis tollo decens tactus acquiro stipes.,LOW,OPEN,,2025-09-06T18:08:24.935Z
1,Hydrant repair at Velma Trail North Brockfurt,Curiositas voro adfectus absum ulterius vester. Defaeco desipio antepono campana demo careo. Amplexus stabilis sequi congregatio.,HIGH,OPEN,4,2025-09-06T18:08:24.935Z